Name,Asset Value,Segment,Volume,Era,Description,Time,Pages,Image
,9774000,,,,,,,
Primitive Money,50000,Primitive Money,1,Pre Independence,,,20,
Early Coinage,100000,Early Coinage,1,Pre Independence,,,20,
Sultanate Coins,628000,Sultunate Coinage,1,Pre Independence,Muslim Rulers,,16,
Mughals 1,404000,Mughal Coinage,1,Pre Independence,,,21,
Mughals 2,270000,Mughal Coinage,2,Pre Independence,,,21,
Princeley States 1,100000,Indian Princely States,1,Pre Independence,,,,
Indian Princely States 2,100000,Indian Princely States,2,Pre Independence,,,,
British India 1,125000,British India,1,Pre Independence,,,,
British India 2,525000,British India,2,Pre Independence,,,,
British India 3,787000,British India,3,Pre Independence,,,,
Indian Foreign Rulers 1,100000,Indian Foreign Rulers,1,Pre Independence,,,,
Proof and UNC Set 1,100000,Proof and UNC Set,1,Post Independence,,,,
Proof and UNC Set 2,100000,Proof and UNC Set,2,Post Independence,,,,
Proof and UNC Set 3,100000,Proof and UNC Set,3,Post Independence,,,,
Proof and UNC Set 4,100000,Proof and UNC Set,4,Post Independence,,,,
Proof and UNC Set 5,100000,Proof and UNC Set,5,Post Independence,,,,
Proof and UNC Set 6,100000,Proof and UNC Set,6,Post Independence,,,,
Proof and UNC Set 7,100000,Proof and UNC Set,7,Post Independence,,,,
Proof and UNC Set 8,100000,Proof and UNC Set,8,Post Independence,,,,
Proof and UNC Set 9,100000,Proof and UNC Set,9,Post Independence,,,,
Proof and UNC Set 10,100000,Proof and UNC Set,10,Post Independence,,,,
Proof and UNC Set 11,100000,Proof and UNC Set,11,Post Independence,,,,
Regular 1,50000,Regular,1,Post Independence,Year Wise,,,
Regular 2,50000,Regular,2,Post Independence,Year Wise,,,
Commerorative 1,50000,Commerorative,1,Post Independence,,,,
Commerorative 2,50000,Commerorative,2,Post Independence,,,,
Regular 1,50000,Regular,1,Post Independence,Mint Wise,,,
Regular 2,50000,Regular,2,Post Independence,Mint Wise,,,
Regular 3,50000,Regular,3,Post Independence,Mint Wise,,,
Regular 4,50000,Regular,4,Post Independence,Mint Wise,,,
Forge anf Fake 1,25000,Forge anf Fake,1,Post Independence,,,,
Error 1,25000,Error,1,Post Independence,,,,
